address,area,price,longtitude,latitude
"Екатеринбург, ул. 3-го Интернационала, стр. 1а",29.1,90500,56.854414,60.578592
"Екатеринбург, ул. Юмашева, 11",85.5,97076,56.843747,60.571414
"Екатеринбург, мкр. Светлый, стр. 6",34.3,65889,56.780398,60.700529
"Екатеринбург, Свердловская обл, Екатеринбург, Н.Сортировка, ул. Крупносортщиков, 12",57.6,57292,56.862366,60.564057
"Екатеринбург, ул. Евгения Савкова, 8",51.2,70312,56.795121,60.49186
"Екатеринбург, ул. Гастелло/Дальневосточная/Мраморская/пер. Каслинский, стр. 2",109.0,80275,56.78633,60.646001
"Екатеринбург, ул. Павлодарская, жилой дом",62.5,55984,56.900093,60.616312
"Екатеринбург, Свердловская область, Екатеринбург, район Завокзальный, Летчиков ул, 7",33.0,77273,56.861796,60.576705
"Екатеринбург, ул. Большакова, д. 147",54.6,104000,56.816035,60.593477
"Екатеринбург, ул. Лётчиков, 7",25.0,70000,56.861796,60.576705
"Екатеринбург, ул. Вайнера, 60",85.5,107602,56.828365,60.596801
"Екатеринбург, Свердловская обл, Екатеринбург, Широкая Речка, ул. Евгения Савкова, 35/2",21.0,86667,56.788505,60.488392
"Екатеринбург, Кировский район, микрорайон Пионерский, ул. Данилы Зверева, 7Б",61.8,70550,56.859325,60.651957
"Екатеринбург, ул. Рябинина, 18",50.7,55917,56.798536,60.51306
"Екатеринбург, ул. Рябинина, 21",80.0,63750,56.796294,60.510922
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, ул. Красных Командиров, 21",93.0,59140,56.89735,60.626265
"Екатеринбург, ул. Чкалова, стр. 22",93.1,81525,56.810369,60.577083
"Екатеринбург, Свердловская область, Екатеринбург, район Ленинский, Шейнкмана ул, 90",52.0,144231,56.826188,60.588195
"Екатеринбург, ул. Чемпионов, 4",32.0,95938,56.748918,60.567471
"Екатеринбург, ул. Колмогорова, 73к3",58.2,96220,56.852174,60.57552
"Екатеринбург, Кировский район, микрорайон Втузгородок, Студенческая ул., 80",27.0,96296,56.837583,60.663572
"Екатеринбург, ул. Крестинского, 49к2",70.6,75071,56.790496,60.630523
"Екатеринбург, Верх-Исетский район, микрорайон Визовский",28.0,90514,56.833723,60.546792
"Екатеринбург, микрорайон Академический, ул. Павла Шаманова, 26",57.8,65727,56.788155,60.51809
"Екатеринбург, ул. Бахчиванджи, д. 12а",38.9,54499,56.759572,60.817867
"Екатеринбург, Московская ул., 75",38.0,128947,56.827513,60.586587
"Екатеринбург, микрорайон Академический, пр-т Академика Сахарова, 31",56.0,87500,56.773504,60.536362
"Екатеринбург, Железнодорожный район, микрорайон Новая Сортировка, ул. Софьи Перовской, 108",42.0,65714,56.862283,60.560293
"Екатеринбург, Базовый пер., 54",57.0,63158,56.805037,60.647277
"Екатеринбург, ул. Николая Островского, стр. 1",57.8,77855,56.80035,60.595498
"Екатеринбург, мкр. Светлый, стр. 7",44.0,64136,56.779136,60.70361
"Екатеринбург, пр-т Ленина, 8",80.7,102398,56.83614,60.586102
"Екатеринбург, ул. Краснолесья, 103",81.4,63268,56.788288,60.52437
"Екатеринбург, микрорайон Академический, ул. Павла Шаманова, 44",40.0,72500,56.79271,60.514785
"Екатеринбург, Свердловская область, Екатеринбург, район Верх-Исетский, Евгения Савкова ул, 31",57.0,63158,56.790536,60.485185
"Екатеринбург, Свердловская область, Екатеринбург, район Центр, Степана Разина ул, 2",57.6,104167,56.824631,60.6067
"Екатеринбург, Свердловская область, Екатеринбург, район Академический, Павла Шаманова ул, 60",60.0,61667,56.794554,60.50776
"Екатеринбург, пр-т Космонавтов, 11",40.6,81281,56.866337,60.610734
"Екатеринбург, Красный пер., 5к1",69.0,123188,56.850092,60.596873
"Екатеринбург, Свердловская область, Екатеринбург, район Чкаловский, Сызранский пер, 15",42.0,76190,56.771294,60.608658
"Екатеринбург, ул. Краснолесья, 135",82.3,66829,56.79449,60.518342
"Екатеринбург, ул. Евгения Савкова, 15",48.0,62479,56.794396,60.492542
"Екатеринбург, Свердловская область, Екатеринбург, микрорайон УНЦ",49.4,67743,56.776246,60.551148
"Екатеринбург, ул. Гастелло/Дальневосточная/Мраморская/пер. Каслинский, стр. 2",99.8,75050,56.78633,60.646001
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, ул. Старых Большевиков, 3В",35.1,81481,56.884453,60.634422
"Екатеринбург, ул. Бакинских Комиссаров, 97",81.6,75980,56.903592,60.583353
"Екатеринбург, Октябрьский район, микрорайон Лечебный, Волчанский пер., 2А",45.0,66222,56.809748,60.710456
"Екатеринбург, ул. Готвальда",28.9,91126,56.850609,60.568701
"Екатеринбург, Чкаловский район, микрорайон Солнечный",59.0,69000,56.748573,60.545597
"Екатеринбург, пос. Совхозный",49.1,75356,56.762488,60.556251
"Екатеринбург, Октябрьский район, микрорайон Птицефабрика, Варшавская ул., 38",43.3,49654,56.783209,60.74089
"Екатеринбург, ул. Белинского, д. 163б",106.6,73500,56.806427,60.625556
"Екатеринбург, ул. Бакинских Комиссаров, 173",46.0,71522,56.914532,60.610617
"Екатеринбург, ул. Маяковского, 8",76.0,62763,56.862701,60.620265
"Екатеринбург, микрорайон Академический, пр-т Академика Сахарова, 37",64.0,57266,56.778135,60.52772
"Екатеринбург, ул. Вильгельма де Геннина, 42",60.0,58667,56.790378,60.515288
"Екатеринбург, ул. Рябинина, 18",81.0,55173,56.798536,60.51306
"Екатеринбург, ул. Суходольская/Ландау/Ручейная, стр. 3",80.4,66667,56.789471,60.481807
"Екатеринбург, ул. Чкалова, стр. 22",104.7,104967,56.810369,60.577083
"Екатеринбург, микрорайон Академический, пр-т Академика Сахарова, 76",79.0,56329,56.787173,60.514102
"Екатеринбург, Павлодарская ул., 48",54.9,74681,56.785679,60.639677
"Екатеринбург, ул. Верхнеуфалейская/Ручейная/Евгения Савкова/Тенистая, стр. 4",69.3,57758,56.796496,60.494303
