address,price
"Екатеринбург, улица Циолковского, 29Б",111111
"Екатеринбург, микрорайон Автовокзал",99144
"Екатеринбург, Посадская улица, 52",100000
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, улица Стачек, 68/10",83034
"Екатеринбург, улица Шевченко, 19",85556
"Екатеринбург, ул.Маневровая-Таватуйская",71959
"Екатеринбург, Железнодорожный район, микрорайон Старая Сортировка, Кунарская улица, 16",59016
"Екатеринбург, улица Белинского, 41",143205
"Екатеринбург, Чкаловский район, микрорайон Светлый, 3",120755
"Екатеринбург, микрорайон Юго-Западный, улица Громова, 134к2",65094
"Екатеринбург, улица Готвальда, 19В",80605
"Екатеринбург, Рощинская улица, 41",72453
"Екатеринбург, Свердловская область, муниципальное образование Город Екатеринбург, посёлок Мичуринский, Широкореченская",62300
"Екатеринбург, улица Чкалова, 248",39487
"Екатеринбург, Коуровская улица, 22",50622
"Екатеринбург, микрорайон ЖБИ",86500
"Екатеринбург, улица Чапаева, 23",92614
